cell_id,source,n_rpc_en,n_rpc_sl,partial_share_rpc_en,partial_share_rpc_sl,z,obs_strict_minus_broad,fold,pred
W_C24_c1,exp9,40.0,41.0,0.5,0.12195121951219512,0.6580705720152068,0.3780487804878049,exp9,0.004573361367345374
W_C24_c1.5,exp9,41.0,41.0,0.34146341463414637,0.14634146341463414,1.316301679407382,0.19512195121951223,exp9,-5.050373455789403e-05
W_C36_c0.25,exp9,41.0,41.0,0.36585365853658536,0.0,-1.1632723526846478,0.36585365853658536,exp9,0.030037931214227376
W_C36_c0.5,exp9,41.0,41.0,0.5121951219512195,0.024390243902439025,-0.16634772730463837,0.4878048780487805,exp9,0.015697664587042137
W_C36_c0.787_G3,exp9,41.0,41.0,0.5121951219512195,0.12195121951219512,0.5492718429599609,0.3902439024390244,exp9,0.005783972690164396
W_C36_c1,exp9,41.0,41.0,0.4634146341463415,0.21951219512195122,0.9365093103814304,0.24390243902439027,exp9,0.00200920559418738
W_C36_c1.5,exp9,41.0,41.0,0.36585365853658536,0.17073170731707318,1.5979250103351368,0.19512195121951217,exp9,-0.00040371712182690755
W_K96_c0.25,exp9,41.0,41.0,0.4146341463414634,0.0,-1.209531234859678,0.4146341463414634,exp9,0.030596115553848113
W_K96_c0.5,exp9,41.0,41.0,0.4634146341463415,0.024390243902439025,-0.2219523904987486,0.43902439024390244,exp9,0.016546415190784036
W_K96_c1,exp9,40.0,41.0,0.55,0.1951219512195122,0.8779465075165502,0.35487804878048784,exp9,0.0024796011188019107
W_K96_c1.5,exp9,41.0,41.0,0.4146341463414634,0.1951219512195122,1.538779505535446,0.2195121951219512,exp9,-0.0004138215328940986
W_S2_c0.25,exp9,41.0,41.0,0.1951219512195122,0.0,-1.4413551227297274,0.1951219512195122,exp9,0.0331699966951392
W_S2_c0.5,exp9,41.0,41.0,0.4634146341463415,0.024390243902439025,-0.511681583353328,0.43902439024390244,exp9,0.020971304039113958
W_S2_c0.726_G2,exp9,41.0,41.0,0.5365853658536586,0.0,0.060201820146076716,0.5365853658536586,exp9,0.012302668220899426
W_S2_c1,exp9,41.0,41.0,0.5609756097560976,0.024390243902439025,0.5688636927933443,0.5365853658536586,exp9,0.005558162258226029
